source,target,tgt_lng
Natsuki Subaru,菜月昴,zh-CN
ナツキ・スバル,菜月昴,zh-CN
Emilia,爱蜜莉雅,zh-CN
エミリア,爱蜜莉雅,zh-CN
Puck,帕克,zh-CN
パック,帕克,zh-CN
Rem,雷姆,zh-CN
レム,雷姆,zh-CN
Ram,拉姆,zh-CN
ラム,拉姆,zh-CN
Beatrice,碧翠丝,zh-CN
ベアトリス,碧翠丝,zh-CN
Betty,贝蒂,zh-CN
ベティー,贝蒂,zh-CN
Roswaal L. Mathers,罗兹瓦尔·L·梅札斯,zh-CN
ロズワール・L・メイザース,罗兹瓦尔·L·梅札斯,zh-CN
Roswaal,罗兹瓦尔,zh-CN
ロズワール,罗兹瓦尔,zh-CN
Frederica Baumann,法兰黛莉卡·鲍曼,zh-CN
フレデリカ・バウマン,法兰黛莉卡·鲍曼,zh-CN
Petra Leyte,佩特拉·雷蒂,zh-CN
ペトラ・レイテ,佩特拉·雷蒂,zh-CN
Otto Suwen,奥托·思文,zh-CN
オットー・スーウェン,奥托·思文,zh-CN
Garfiel Tinzel,加菲尔·汀泽尔,zh-CN
ガーフィール・ティンゼル,加菲尔·汀泽尔,zh-CN
Ryuzu Bilma,琉兹·毕尔玛,zh-CN
リューズ・ビルマ,琉兹·毕尔玛,zh-CN
Felt,菲鲁特,zh-CN
フェルト,菲鲁特,zh-CN
Reinhard van Astrea,莱因哈鲁特·范·阿斯特雷亚,zh-CN
ラインハルト・ヴァン・アストレア,莱因哈鲁特·范·阿斯特雷亚,zh-CN
Wilhelm van Astrea,威尔海姆·范·阿斯特雷亚,zh-CN
ヴィルヘルム・ヴァン・アストレア,威尔海姆·范·阿斯特雷亚,zh-CN
Theresia van Astrea,特蕾西亚·范·阿斯特雷亚,zh-CN
テレシア・ヴァン・アストレア,特蕾西亚·范·阿斯特雷亚,zh-CN
Crusch Karsten,库珥修·卡尔斯腾,zh-CN
クルシュ・カルステン,库珥修·卡尔斯腾,zh-CN
Felix Argyle,菲利克斯·阿盖尔,zh-CN
フェリックス・アーガイル,菲利克斯·阿盖尔,zh-CN
Ferris,菲莉丝,zh-CN
フェリス,菲莉丝,zh-CN
Anastasia Hoshin,安娜塔西雅·合辛,zh-CN
アナスタシア・ホーシン,安娜塔西雅·合辛,zh-CN
Julius Juukulius,由里乌斯·尤克历乌斯,zh-CN
ユリウス・ユークリウス,由里乌斯·尤克历乌斯,zh-CN
Priscilla Barielle,普莉希拉·跋利耶尔,zh-CN
プリシラ・バーリエル,普莉希拉·跋利耶尔,zh-CN
Aldebaran,阿尔迪巴兰,zh-CN
アルデバラン,阿尔迪巴兰,zh-CN
Echidna,艾姬多娜,zh-CN
エキドナ,艾姬多娜,zh-CN
Patrasche,帕特拉修,zh-CN
パトラッシュ,帕特拉修,zh-CN
Liliana Masquerade,莉莉安娜·玛斯柯瑞德,zh-CN
